r_L7	1	1/1
r_R7	-1	-1/1
r_07	0	0/1
asym.rho_L.admissible	1	1/1
asym.rho_L.rho_a	0.625	5/8
asym.rho_L.rho_b	0.0625	1/16
asym.rho_L.rho_c	0.0625	1/16
asym.rho_L.rho_d	0.375	3/8
asym.rho_L.det	0.23046875	59/256
asym.rho_L.p_Pplus	0.625	5/8
asym.rho_L.p_Qplus	0.5625	9/16
asym.rho_L.pq_Pplus_Qplus	0.3125	5/16
asym.rho_L.pq_Pplus_Qminus	0.3125	5/16
asym.rho_L.pq_Pminus_Qplus	0.1875	3/16
asym.rho_L.pq_Pminus_Qminus	0.1875	3/16
asym.rho_L.qp_Qplus_Pplus	0.28125	9/32
asym.rho_L.qp_Qplus_Pminus	0.28125	9/32
asym.rho_L.qp_Qminus_Pplus	0.21875	7/32
asym.rho_L.qp_Qminus_Pminus	0.21875	7/32
asym.rho_L.marginal_P_after_Q	0.5	1/2
asym.rho_L.qQQ	0	0/1
asym.rho_R.admissible	1	1/1
asym.rho_R.rho_a	0.375	3/8
asym.rho_R.rho_b	-0.0625	-1/16
asym.rho_R.rho_c	-0.0625	-1/16
asym.rho_R.rho_d	0.625	5/8
asym.rho_R.det	0.23046875	59/256
asym.rho_R.p_Pplus	0.375	3/8
asym.rho_R.p_Qplus	0.4375	7/16
asym.rho_R.pq_Pplus_Qplus	0.1875	3/16
asym.rho_R.pq_Pplus_Qminus	0.1875	3/16
asym.rho_R.pq_Pminus_Qplus	0.3125	5/16
asym.rho_R.pq_Pminus_Qminus	0.3125	5/16
asym.rho_R.qp_Qplus_Pplus	0.21875	7/32
asym.rho_R.qp_Qplus_Pminus	0.21875	7/32
asym.rho_R.qp_Qminus_Pplus	0.28125	9/32
asym.rho_R.qp_Qminus_Pminus	0.28125	9/32
asym.rho_R.marginal_P_after_Q	0.5	1/2
asym.rho_R.qQQ	0	0/1
asym.rho_0.admissible	1	1/1
asym.rho_0.rho_a	0.5	1/2
asym.rho_0.rho_b	0	0/1
asym.rho_0.rho_c	0	0/1
asym.rho_0.rho_d	0.5	1/2
asym.rho_0.det	0.25	1/4
asym.rho_0.p_Pplus	0.5	1/2
asym.rho_0.p_Qplus	0.5	1/2
asym.rho_0.pq_Pplus_Qplus	0.25	1/4
asym.rho_0.pq_Pplus_Qminus	0.25	1/4
asym.rho_0.pq_Pminus_Qplus	0.25	1/4
asym.rho_0.pq_Pminus_Qminus	0.25	1/4
asym.rho_0.qp_Qplus_Pplus	0.25	1/4
asym.rho_0.qp_Qplus_Pminus	0.25	1/4
asym.rho_0.qp_Qminus_Pplus	0.25	1/4
asym.rho_0.qp_Qminus_Pminus	0.25	1/4
asym.rho_0.marginal_P_after_Q	0.5	1/2
asym.rho_0.qQQ	0	0/1
asym.invalid.admissible	0	0/1
asym.invalid.det_sigma	-0.0031250000000000002	-1/320
sym.rho_L.admissible	1	1/1
sym.rho_L.rho_a	0.625	5/8
sym.rho_L.rho_b	0.125	1/8
sym.rho_L.rho_c	0.125	1/8
sym.rho_L.rho_d	0.375	3/8
sym.rho_L.det	0.21875	7/32
sym.rho_L.p_Pplus	0.625	5/8
sym.rho_L.p_Qplus	0.625	5/8
sym.rho_L.pq_Pplus_Qplus	0.3125	5/16
sym.rho_L.pq_Pplus_Qminus	0.3125	5/16
sym.rho_L.pq_Pminus_Qplus	0.1875	3/16
sym.rho_L.pq_Pminus_Qminus	0.1875	3/16
sym.rho_L.qp_Qplus_Pplus	0.3125	5/16
sym.rho_L.qp_Qplus_Pminus	0.3125	5/16
sym.rho_L.qp_Qminus_Pplus	0.1875	3/16
sym.rho_L.qp_Qminus_Pminus	0.1875	3/16
sym.rho_L.marginal_P_after_Q	0.5	1/2
sym.rho_L.qQQ	0	0/1
sym.rho_R.admissible	1	1/1
sym.rho_R.rho_a	0.375	3/8
sym.rho_R.rho_b	-0.125	-1/8
sym.rho_R.rho_c	-0.125	-1/8
sym.rho_R.rho_d	0.625	5/8
sym.rho_R.det	0.21875	7/32
sym.rho_R.p_Pplus	0.375	3/8
sym.rho_R.p_Qplus	0.375	3/8
sym.rho_R.pq_Pplus_Qplus	0.1875	3/16
sym.rho_R.pq_Pplus_Qminus	0.1875	3/16
sym.rho_R.pq_Pminus_Qplus	0.3125	5/16
sym.rho_R.pq_Pminus_Qminus	0.3125	5/16
sym.rho_R.qp_Qplus_Pplus	0.1875	3/16
sym.rho_R.qp_Qplus_Pminus	0.1875	3/16
sym.rho_R.qp_Qminus_Pplus	0.3125	5/16
sym.rho_R.qp_Qminus_Pminus	0.3125	5/16
sym.rho_R.marginal_P_after_Q	0.5	1/2
sym.rho_R.qQQ	0	0/1
sym.rho_0.admissible	1	1/1
sym.rho_0.rho_a	0.5	1/2
sym.rho_0.rho_b	0	0/1
sym.rho_0.rho_c	0	0/1
sym.rho_0.rho_d	0.5	1/2
sym.rho_0.det	0.25	1/4
sym.rho_0.p_Pplus	0.5	1/2
sym.rho_0.p_Qplus	0.5	1/2
sym.rho_0.pq_Pplus_Qplus	0.25	1/4
sym.rho_0.pq_Pplus_Qminus	0.25	1/4
sym.rho_0.pq_Pminus_Qplus	0.25	1/4
sym.rho_0.pq_Pminus_Qminus	0.25	1/4
